Blood Brother:2018:John Pogue
Okja:2017:Bong Joon Ho
Invincible:2014:Angelina Jolie
Colombiana:2011:Olivier Megaton
Inception:2010:Christopher Nolan
Les Affranchis:1990:Martin Scorsese
